Chapter,Clause,Content,Length
押保辦法全文,第三十條 ,廠商以差額保證金作為本法第五十八條規定之擔保者，依下列規定辦理：一、總標價偏低者，擔保金額為總標價與底價之百分之八十之差額，或為總標價與本法第五十四條評審委員會建議金額之百分之八十之差額。二、部分標價偏低者，擔保金額為該部分標價與該部分底價之百分之七十之差額。該部分無底價者，以該部分之預算金額或評審委員會之建議金額代之。三、廠商未依規定提出差額保證金者，得不決標予該廠商。差額保證金之繳納，應訂定五日以上之合理期限。其有效期、內容、發還及不發還等事項，準用履約保證金之規定。,238
押保辦法全文,第三十一條 ,廠商依本法第七十二條第一項通知廠商限期改善或換貨，其須將已付款之標的運出機關場所者，得規定廠商繳納與標的等值之保證金。保固期間內有將標的運出機關場所改善或換貨之情形者，亦同。前項保證金，準用履約保證金之有關規定。,106
押保辦法全文,第三十二條 ,機關提供財物供廠商加工或維修，其須將標的運出機關場所者，得視實際需要規定廠商繳納與標的等值或一定金額之保證金。前項保證金，準用履約保證金之有關規定。,74
押保辦法全文,第三十三條 ,未達公告金額之採購，機關得於招標文件中規定得標廠商應繳納之履約保證金或保固保證金，得以符合招標文件所定投標廠商資格條件之其他廠商之履約及賠償連帶保證代之。,77
押保辦法全文,第三十三條之一,公告金額以上之採購，機關得於招標文件中規定得標廠商提出符合招標文件所定投標廠商資格條件之其他廠商之履約及賠償連帶保證者，其應繳納之履約保證金或保固保證金得予減收。前項減收額度，得為一定金額或比率，由招標機關於招標文件中擇定之。其額度以不逾履約保證金或保固保證金額度之百分之五十為限。,141
押保辦法全文,第三十三條之二  ,機關依前二條規定允許保證金得以連帶保證代之或減收者，其提出連帶保證廠商文件之期限，準用履約保證金及保固保證金之規定；機關並應於招標文件規定，連帶保證廠商之連帶保證責任，不因分次發還保證金而遞減。保證金有不發還之情形者，得標廠商及連帶保證廠商應向機關補繳該不發還金額中原由連帶保證代之或減收之金額。但依其情形可由連帶保證廠商履約而免補繳者，應先洽該廠商履約。,178
押保辦法全文,第三十三條之三,第三十三條及第三十三條之一連帶保證廠商應以依法得為保證、未參與投標，且無本法第一百零三條第一項不得參加投標或作為決標對象或分包廠商之情形者為限。,72
押保辦法全文,第三十三條之四,機關應於招標文件中規定，同一廠商同時作為各機關採購契約之連帶保證廠商者，以二契約為限。機關辦理採購有前項連帶保證廠商情形者，應將連帶保證廠商及相關資料傳輸至主管機關指定之資料庫予以公告。,93
押保辦法全文,第三十三條之五 1,機關辦理採購，得於招標文件中規定優良廠商應繳納之押標金、履約保證金或保固保證金金額得予減收，其額度以不逾原定應繳總額之百分之五十為限。繳納後方為優良廠商者，不溯及適用減收規定；減收後獎勵期間屆滿者，免補繳減收之金額。前項優良廠商，指經主管機關或相關中央目的事業主管機關就其主管法令所適用之廠商，依其所定獎勵措施、獎勵期間及政府採購契約履約成果評定為優良廠商，並於評定後三個月內檢附相關資料，報主管機關，經認定而於指定之資料庫公告，且在獎勵期間內者。獎勵期間自資料庫公告日起逾二年者，以二年為限；無獎勵期間者，自資料庫公告日起一年。機關並得於招標文件就個案所適用之優良廠商種類予以限制。,292
押保辦法全文,第三十三條之五 2,機關辦理採購，得於招標文件中規定優良廠商應繳納之押標金、履約保證金或保固保證金金額得予減收，其額度以不逾原定應繳總額之百分之五十為限。繳納後方為優良廠商者，不溯及適用減收規定；減收後獎勵期間屆滿者，免補繳減收之金額。前項得予減收之情形，機關應於招標文件規定，其有不發還押標金或保證金之情形者，廠商應就不發還金額中屬減收之金額補繳之。其經主管機關或相關中央目的事業主管機關取消優良廠商資格，或經各機關依本法第一百零二條第三項規定刊登政府採購公報，且尚在本法第一百零三條第一項所定期限內者，亦同。,246
押保辦法全文,第三十三條之五 3,機關辦理採購，得於招標文件中規定優良廠商應繳納之押標金、履約保證金或保固保證金金額得予減收，其額度以不逾原定應繳總額之百分之五十為限。繳納後方為優良廠商者，不溯及適用減收規定；減收後獎勵期間屆滿者，免補繳減收之金額。前項優良廠商，指經主管機關或相關中央目的事業主管機關就其主管法令所適用之廠商，依其所定獎勵措施、獎勵期間及政府採購契約履約成果評定為優良廠商，並於評定後三個月內檢附相關資料，報主管機關，經認定而於指定之資料庫公告，且在獎勵期間內者。獎勵期間自資料庫公告日起逾二年者，以二年為限；無獎勵期間者，自資料庫公告日起一年。機關並得於招標文件就個案所適用之優良廠商種類予以限制。第一項得予減收之情形，機關應於招標文件規定，其有不發還押標金或保證金之情形者，廠商應就不發還金額中屬減收之金額補繳之。其經主管機關或相關中央目的事業主管機關取消優良廠商資格，或經各機關依本法第一百零二條第三項規定刊登政府採購公報，且尚在本法第一百零三條第一項所定期限內者，亦同。經直轄市或縣（市）政府比照第二項之規定評為優良之廠商，於各該政府及所屬機關所辦理之採購，得準用第一項及前項之規定，並免報主管機關及於指定之資料庫公告。依其他法令得予減收押標金、履約保證金或保固保證金金額，而該法令未明定需於招標文件規定或於主管機關指定之資料庫公告者，從其規定。,569
押保辦法全文,第三十三條之六 1,機關辦理非條約協定採購，得於招標文件中規定全球化廠商應繳納之押標金、履約保證金或保固保證金金額得予減收，其額度以不逾各原定應繳總額之百分之三十為限，不併入前條減收額度計算。繳納後方為全球化廠商者，不溯及適用減收規定；減收後獎勵期間屆滿者，免補繳減收之金額。前項全球化廠商，指我國廠商得標我國以外之政府採購標案累計決標金額達世界貿易組織政府採購協定我國中央機關門檻金額以上，於決標後一年內經相關中央目的事業主管機關審定登錄於主管機關指定之資料庫公告，且在獎勵期間內者。獎勵期間自資料庫公告日起一年。,248
押保辦法全文,第三十三條之六 2,機關辦理非條約協定採購，得於招標文件中規定全球化廠商應繳納之押標金、履約保證金或保固保證金金額得予減收，其額度以不逾各原定應繳總額之百分之三十為限，不併入前條減收額度計算。繳納後方為全球化廠商者，不溯及適用減收規定；減收後獎勵期間屆滿者，免補繳減收之金額。前項得予減收之情形，機關應於招標文件規定，其有不發還押標金或保證金之情形者，廠商應就不發還金額中屬減收之金額補繳之。其經相關中央目的事業主管機關因前項我國以外之政府採購標案有重大違約情形而取消全球化廠商資格，或經各機關依本法第一百零二條第三項規定刊登政府採購公報，且尚在本法第一百零三條第一項所定期限內者，亦同。,284
押保辦法全文,第三十四條 ,本辦法有關之押標金、保證金及其他擔保之格式，由主管機關定之。,30
押保辦法全文,第三十五條 ,本辦法自中華民國八十八年五月二十七日施行。本辦法修正條文自發布日施行。,35
採購專業人員資格考試訓練發證及管理辦法,第一條 ,本辦法依政府採購法(以下簡稱本法)第九十五條第二項規定訂定之。,31
採購專業人員資格考試訓練發證及管理辦法,第二條 ,機關辦理採購，其訂定招標文件、招標、決標、訂約、履約管理、驗收及爭議處理，宜由採購專業人員承辦或經採購專業人員審核、協辦或會辦。但一定金額之採購，應由採購專業人員承辦或經採購專業人員審核、協辦或會辦。前項由採購專業人員承辦或經採購專業人員審核、協辦或會辦之事項，不包括涉及技術規格及查驗等實質或技術事項，但採購專業人員發現該等事項有違反法令情形，仍得提出意見。第一項所定一定金額為公告金額以上。但駐國外機構為新臺幣三百萬元以上。,214
採購專業人員資格考試訓練發證及管理辦法,第二條之一,駐國外機構辦理前條一定金額之採購，其無採購專業人員者，應由國內機關或其他駐國外機構之採購專業人員承辦、審核、協辦或會辦代之。前項洽由國內機關或其他駐國外機構之採購專業人員承辦、審核、協辦或會辦代之者，得以書面、電子化或人員支援方式辦理。,118
採購專業人員資格考試訓練發證及管理辦法,第三條 ,本辦法所稱採購專業人員，指取得採購專業人員基本資格或進階資格者。,32
採購專業人員資格考試訓練發證及管理辦法,第四條 ,符合下列情形之一之人員，取得採購專業人員基本資格：一、參加主管機關或其委託之機關或學術機構（以下簡稱機關(構)）依本辦法辦理之基礎訓練，經考試及格，領有及格證書者。二、本法施行後至本辦法施行前，辦理採購期間在一年以上，無重大違反本法情形，且曾參與主管機關、上級機關或任職機關辦理與本法有關之訓練或講習課程，時數在二十小時以上，領有及格或結訓證明，經上級機關核定者。三、其他經主管機關認定者。前項第二款，上級機關得洽請主管機關舉辦考試，及格者發給及格證書。,227
採購專業人員資格考試訓練發證及管理辦法,第五條 ,符合下列情形之一之人員，取得採購專業人員進階資格：一、已取得採購專業人員基本資格，參加主管機關或其委託之機關(構)依本辦法辦理之進階訓練，經考試及格，領有及格證書者。二、符合前條第一項第二款規定之人員，於本法發布後至本辦法施行前，擔任採購單位主管職務，期間在六個月以上，且無重大違反本法情形，經上級機關核定者。三、其他經主管機關認定者。前項第二款所稱採購單位，指專責採購業務之股、課、科、室、組、處或其他相當者。,206
採購專業人員資格考試訓練發證及管理辦法,第六條 ,採購單位主管人員宜取得採購專業人員進階資格，採購單位非主管人員宜取得採購專業人員基本資格。前項主管及非主管人員，宜於其就（到）職之日起一年內，取得採購專業人員基本資格；主管人員並宜於其就（到）職之日起二年內，取得採購專業人員進階資格。前項人員，逾期未取得採購專業人員資格者，機關宜命其參加訓練；其情形並列入年終考核獎懲參考。,162
採購專業人員資格考試訓練發證及管理辦法,第七條 ,機關採購專業人員調任其他機關辦理採購，其採購專業人員資格不受影響。,33
採購專業人員資格考試訓練發證及管理辦法,第八條 ,採購專業人員因職務異動不辦理採購，其採購專業人員資格得予保留。,31
採購專業人員資格考試訓練發證及管理辦法,第九條 ,採購專業人員辭職後五年內回任機關採購職務者，仍具採購專業人員資格。,33
採購專業人員資格考試訓練發證及管理辦法,第十條 ,採購專業人員有下列情形之一者，喪失其採購專業人員資格：一、辦理採購業務，涉嫌不法行為，經有罪判決者。但經判決無罪確定者，予以回復。二、因辦理採購業務違反法令情節重大而受免除職務、撤職、剝奪、減少退休（職、伍）金、休職、降級、減俸、罰款、記過懲戒處分之判決者。但經再審撤銷原判決更為判決，致無上述情形者，予以回復。符合前項第一款情形者，並註銷其及格證書。第一項第二款情形，與操守無關，係偶發情形，且可改善者，經主管機關核准，得免喪失採購專業人員資格。,224
採購專業人員資格考試訓練發證及管理辦法,第十一條 ,採購專業人員訓練，分下列二種：一、基礎訓練：以培養擔任採購單位人員一般所需之政府採購法令及實務之基本智識為主。二、進階訓練：以培養擔任採購單位主管所需之廣泛且深入之政府採購法令及實務智識為主。前項訓練，其參訓人員分別以未取得採購專業人員基本或進階資格之採購人員或即將辦理採購業務之人員為優先。未取得採購專業人員基本資格者，不得參加進階訓練。第一項訓練之課程、時數及考試方式如附表。前項訓練，除當面授課方式外，得以視訊或網路教學方式為之。考試，得以筆試或電子化方式為之。,234
採購專業人員資格考試訓練發證及管理辦法,第十二條 ,採購專業人員訓練由主管機關舉辦，並得委託其他機關（構）辦理。其出勤考核及考試，由訓練機關（構）辦理；試題由主管機關或授權訓練機關(構)命製；主管機關得派員監試。前項受委託之機關(構)於考試結束後，應將各參加訓練人員缺課、考試成績、違規及得否發證等情形通知主管機關，以備發證。,137
採購專業人員資格考試訓練發證及管理辦法,第十三條 ,(刪除),4
採購專業人員資格考試訓練發證及管理辦法,第十四條 ,機關(構)辦理基礎與進階訓練及考試，得收取必要之費用。,27
採購專業人員資格考試訓練發證及管理辦法,第十五條 ,參加訓練，缺課時數逾全部課程十分之一者，不得參加考試。考試成績以總滿分得分百分之七十以上為及格。但依課程分別辦理考試者，個別課程不得有零分之情形。考試成績不及格者，得申請補考，無次數限制。前項規定，於本辦法一百年一月五日修正施行前，考試成績不及格而達總滿分得分百分之五十以上，尚未依修正前規定於接獲不及格通知次日起一年內完成補考者，亦適用之。,171
採購專業人員資格考試訓練發證及管理辦法,第十六條 ,考試及格者，由主管機關發給考試及格證書，並得以電子文件代之。其遺失補發者，發給考試及格證明。及格證書格式，由主管機關定之。,61
採購專業人員資格考試訓練發證及管理辦法,第十七條 ,應考人有下列各款情形之一，不予發證：一、冒名頂替者。二、偽造或變造應考證件者。三、不具備應考資格者。四、以詐術或其他不正當方法，使考試發生不正確之結果者。前項不予發證之情形，於發證後發現者，撤銷其資格，並註銷其及格證書。,110
採購專業人員資格考試訓練發證及管理辦法,第十八條 ,(刪除),4
採購專業人員資格考試訓練發證及管理辦法,第十九條 ,應考人得於收受考試成績通知之次日起七日內向辦理考試機關(構)申請複查。,35
採購專業人員資格考試訓練發證及管理辦法,第二十條 ,機關對其採購專業人員，應列冊送上級機關，並以電子資料方式傳輸至主管機關指定之資料庫。異動時，亦同。,49
採購專業人員資格考試訓練發證及管理辦法,第二十一條 ,機關採購專業人員以專任為原則，並應避免頻繁異動。,24
採購專業人員資格考試訓練發證及管理辦法,第二十二條 ,主管機關、直轄市及縣(市)政府得視需要調集採購專業人員實施在職訓練。其調訓範圍如下：一、主管機關：中央及地方各機關之採購專業人員。二、直轄市政府：直轄市各機關之採購專業人員。三、縣(市)政府：縣(市)及所轄鄉(鎮、市)各機關之採購專業人員。,120
採購專業人員資格考試訓練發證及管理辦法,第二十三條 ,本辦法施行日期，由主管機關定之。本辦法修正條文自發布日施行。,30
採購履約爭議調解收費辦法,第一條 ,本辦法依政府採購法（以下簡稱本法）第八十五條之二規定訂定之。,30
採購履約爭議調解收費辦法,第二條 ,採購申訴審議委員會（以下簡稱申訴會）依本法第八十五條之一規定處理機關及廠商之履約爭議調解（以下簡稱調解）事件，依本辦法之規定收費。,65
採購履約爭議調解收費辦法,第三條 ,前條費用，應由當事人以現金、公庫支票、郵政匯票、金融機構簽發之即期本票、支票或保付支票繳納。,46
採購履約爭議調解收費辦法,第四條 ,申請調解者，應繳納調解費。其未繳納者，由申訴會通知限期補繳；屆期未繳納者，其申請不予受理。,45
採購履約爭議調解收費辦法,第五條 1,以請求或確認金額為調解標的者，其調解費如下：一、金額未滿新臺幣二百萬元者，新臺幣二萬元。二、金額在新臺幣二百萬元以上，未滿五百萬元者，新臺幣三萬元。三、金額在新臺幣五百萬元以上，未滿一千萬元者，新臺幣六萬元。四、金額在新臺幣一千萬元以上，未滿三千萬元者，新臺幣十萬元。前項調解標的之金額以外幣計算者，按申訴會收件日前一交易日臺灣銀行外匯小額交易收盤買入匯率折算之。,182
採購履約爭議調解收費辦法,第五條 2,以請求或確認金額為調解標的者，其調解費如下：五、金額在新臺幣三千萬元以上，未滿五千萬元者，新臺幣十五萬元。六、金額在新臺幣五千萬元以上，未滿一億元者，新臺幣二十萬元。七、金額新臺幣一億元以上，未滿三億元者，新臺幣三十五萬元。八、金額新臺幣三億元以上，未滿五億元者，新臺幣六十萬元。九、金額新臺幣五億元以上者，新臺幣一百萬元。前項調解標的之金額以外幣計算者，按申訴會收件日前一交易日臺灣銀行外匯小額交易收盤買入匯率折算之。,210
採購履約爭議調解收費辦法,第六條 ,非以請求或確認金額為調解標的者，其調解費為新臺幣三萬元。但調解標的得直接以金額計算者，其調解費依前條規定計算。,55
採購履約爭議調解收費辦法,第七條 ,以一履約爭議調解申請書主張數項調解標的者，其調解費依下列方式計算：一、就一契約並主張前二條之調解標的者，其調解費依前二條規定分別計算後累計。二、就一契約主張數項第五條之調解標的者，其調解費按請求總金額計算。三、就一契約主張數項前條之調解標的者，其調解費分別計算後累計。四、就一契約主張之數項調解標的互相競合或應為選擇者，其調解費依其中金額最高者計算。五、就二個以上之契約事件申請調解者，其調解費按每一契約分別計算後累計。,210
採購履約爭議調解收費辦法,第八條 ,應屬履約爭議事件，申請人誤提起申訴，而經申請人申請改行調解程序者，依本辦法之規定重新計算其調解費，與原繳審議費相抵後，多退少補。,64
採購履約爭議調解收費辦法,第九條 ,調解程序進行中，因請求事項變更或追加，應加收調解費時，依第五條至第七條規定計算追繳之。,43
採購履約爭議調解收費辦法,第十條 ,調解申請不予受理者，免予收費。已繳費者，無息退還所繳調解費之全額。但已通知調解期日者，收取新臺幣五千元。,52
採購履約爭議調解收費辦法,第十一條 ,機關申請調解時，廠商從未於調解期日到場，經調解委員酌量情形視為調解不成立者，其調解費無息退還機關二分之一。,53
採購履約爭議調解收費辦法,第十二條 ,鑑定費及其他必要之費用，由申訴會通知當事人繳納。,24
採購履約爭議調解收費辦法,第十三條 ,申訴會囑託鑑定時，應由該受託機關、學校、團體或人員於鑑定前提出總費用額之請求，由調解委員視調解事件之繁簡酌定之。,56
採購履約爭議調解收費辦法,第十四條 ,申請人撤回調解之申請者，所繳調解費不予退還。但申請人於第一次調解期日之次日起十日內以書面撤回調解者，無息退還所繳調解費二分之一，未退還之調解費逾新臺幣二十萬元者，以新臺幣二十萬元為收費上限。前項情形，當事人已繳納而尚未發生之鑑定費及其他必要費用，應無息退還。,129
採購履約爭議調解收費辦法,第十五條 ,調解成立者，調解費、鑑定費及其他必要費用之數額及負擔，應記明於調解成立書。調解不成立時，調解費、鑑定費及其他必要費用由已繳費之當事人負擔。,69
採購履約爭議調解收費辦法,第十六條 ,本辦法自發布日施行。,10
採購履約爭議調解規則,第 一 條 ,本規則依政府採購法(以下簡稱本法)第八十五條之一第四項規定訂定之。,33
採購履約爭議調解規則,第 二 條 ,調解事件屬中央機關之履約爭議者，應向主管機關所設採購申訴審議委員會(以下簡稱申訴會)申請；其屬地方機關之履約爭議者，應向直轄市、縣(市)政府所設申訴會申請。直轄市、縣(市)政府未設申訴會而委請主管機關處理者，得向主管機關所設申訴會申請。,118
採購履約爭議調解規則,第 三 條 ,申請人誤向非管轄之申訴會申請調解者，該申訴會應即移送有管轄權之申訴會辦理，並副知申請人及他造當事人。,50
採購履約爭議調解規則,第 四 條 ,對於調解事件，應先為程序審查；其無程序不合法之情形者，再進行實體審查。前項程序審查，發現有程式不合而其情形可補正者，應酌定相當期間通知申請人補正。,73
採購履約爭議調解規則,第 五 條 ,申訴會對於調解事件之文書，應就每一事件編訂卷宗。,24
採購履約爭議調解規則,第 六 條 ,申請調解應具申請書，載明下列事項，由申請人或代理人簽名或蓋章，並按他造人數分送副本：一、申請人之姓名、出生年月日、電話及住、居所。如係法人或其他設有管理人或代表人之團體，其名稱、事務所或營業所及管理人或代表人之姓名、出生年月日、電話、住、居所。二、有代理人者，其姓名、出生年月日、電話及住、居所。三、他造當事人之名稱。四、請求調解之事項、調解標的之法律關係、爭議情形及證據。五、附屬文件及其件數。六、年、月、日。調解申請書應以中文繕具，其附有外文資料者，應就調解有關之部分備具中文譯本。但申訴會得視需要通知其檢具其他部分之中文譯本。,266
採購履約爭議調解規則,第 七 條 ,申請調解得委任代理人為之。代理人應提出委任書，載明其姓名、出生年月日、職業、電話、住、居所。申請人在我國無住所、事務所或營業所者，應委任在我國有住所、事務所或營業所之代理人為之。,89
採購履約爭議調解規則,第 八 條 ,調解代理人就其受委任事件，有為一切行為之權。但捨棄、認諾、撤回、和解及選任代理人，非受特別委任不得為之。對前項代理權加以限制者，應於委任書表明。,72
採購履約爭議調解規則,第 九 條 ,他造當事人應自收受調解申請書副本之次日起十五日內，以書面向申訴會陳述意見，並同時繕具副本送達於申請人。調解過程中，任一造當事人向申訴會提出之文書，應同時繕具副本送達於他造。,86
採購履約爭議調解規則,第 十 條 1,申請調解事件有下列情形之一者，應提申訴會委員會議為不受理之決議。但其情形可補正者，應酌定相當期間命其補正：一、當事人不適格。二、已提起仲裁、申(聲)請調解或民事訴訟。但其程序已依法合意停止者，不在此限。三、曾經法定機關調解未成立。四、曾經法院判決確定。五、申請人係無行為能力或限制行為能力人，未由法定代理人合法代理。,158
採購履約爭議調解規則,第 十 條 2,申請調解事件有下列情形之一者，應提申訴會委員會議為不受理之決議。但其情形可補正者，應酌定相當期間命其補正：六、由代理人申請調解，其代理權有欠缺。七、申請調解不合程式。八、經限期補繳調解費，屆期未繳納。九、廠商不同意調解。十、送達於他造當事人之通知書，應為公示送達或於外國為送達。十一、非屬政府採購事件。十二、其他不予受理之情事。,164
採購履約爭議調解規則,第十 一條 ,調解事件經審查無前條各款應不受理之情形者，由申訴會主任委員指定委員一人至三人為調解委員，進行調解程序，並應速定調解期日，通知當事人或代理人到場。前項調解之進行，申訴會得按事件需要，指定諮詢委員若干人，以備諮詢。,105
採購履約爭議調解規則,第十 二條 ,調解程序於申訴會行之；必要時，亦得於其他適當處所行之。前項調解，以不公開為原則。,40
採購履約爭議調解規則,第十 三條 ,申訴會於調解時，得囑託具專門知識經驗之機關、學校、團體或人員鑑定，並得邀請學者或專家諮詢、通知相關人士說明或請當事人提供相關文件、資料。前項鑑定人員及諮詢學者、專家之迴避，準用採購申訴審議委員會組織準則第十三條關於申訴會委員迴避之規定。,118
採購履約爭議調解規則,第十 四條 ,就調解事件有法律上利害關係之第三人，調解委員得依職權審酌通知其參加調解程序。,38
採購履約爭議調解規則,第十 五條 ,調解委員行調解時，為審究事件之法律關係及兩造當事人爭議之所在，得聽取當事人、具有專門知識經驗或知悉事件始末之人或其他關係人之陳述，察看現場或標的物之狀況；於必要時，得調查證據。當事人無正當理由拒絕陳述、提供資料，調解委員得就現有資料採為出具調解建議之參考。,128
採購履約爭議調解規則,第十 六條 ,調解時應本和平懇切之態度，對當事人為適當勸導，就調解事件酌擬平允之解決辦法，力謀雙方之和諧。,46
採購履約爭議調解規則,第十 七條 ,當事人兩造或一造於調解期日未到場者，調解委員得斟酌其情形，視為調解不成立或另定調解期日予以調解。,48
採購履約爭議調解規則,第十 八條 ,調解過程中，調解委員於審酌當事人提出之所有資料後，本於第十六條酌擬平允之解決辦法，以申訴會名義提出書面調解建議，並酌定相當期間命當事人為同意與否之意思表示。機關不同意調解建議者，應先報請上級機關核定後，於前項指定期間內以書面向申訴會及廠商說明理由。廠商為政府機關、公立學校或公營事業時，亦同。當事人未於第一項期限內為同意與否之意思表示，經申訴會再酌定一定期間命其為同意與否之意思表示，逾期仍未回復者，得以該當事人不同意調解建議處理。,216
採購履約爭議調解規則,第十 九條 ,調解事件應作調解會議紀錄，記載調解之經過、結果與期日之延展及附記事項。調解委員應就調解事件作成調解成立書、調解方案通知書或調解不成立證明書，載明調解經過，並檢具相關卷證文件，提申訴會委員會議審議。調解成立書、調解方案通知書及調解不成立證明書，應於申訴會委員會議決議通過之次日起十日內，以正本送達於當事人及參加調解之利害關係人。,163
採購履約爭議調解規則,第二 十條 ,調解事件應自收受調解申請書之次日起四個月內完成調解程序。但經雙方同意延長者，得延長之。前項調解期間，於調解申請書尚未補正或調解費尚未補繳者，自收受補正文件或補繳調解費之次日起算；當事人於調解期間內，續以書面補具理由、陳報資料，或擴張請求而有補繳調解費之必要者，自最後收受補具理由書、陳報資料或補繳調解費之次日起算。,157
採購履約爭議調解規則,第二十條之一,調解程序，得經當事人向申訴會以書面陳明合意停止，並以一次為限。當事人於調解會議期日當場以言詞向調解委員陳明合意停止者，應記明於會議紀錄。合意停止調解程序之任一造當事人，均得以書面向申訴會申請續行調解程序。當事人自陳明合意停止之次日起，四個月內未申請續行調解程序者，視為申請人撤回調解之申請。第一項情形，申訴會認有維護公益之必要者，得於四個月內續行調解程序。,178
採購履約爭議調解規則,第二十一條 ,調解之申請經撤回者，視為未申請調解。前項撤回，申訴會應通知他造當事人。,35
採購履約爭議調解規則,第二十二條 ,申訴會委員、執行秘書、工作人員、諮詢委員及學者、專家，因經辦、參與調解事件，知悉他人職務上、業務上之秘密或其他涉及個人隱私之事項，應保守秘密。,71
採購履約爭議調解規則,第二十三條 ,調解成立書、調解不成立證明書或調解方案通知書，採用郵務送達者，應使用調解文書郵務送達證書。調解成立書、調解不成立證明書或調解方案通知書之送達，除前項規定外，準用民事訴訟法關於送達之規定。,93
採購履約爭議調解規則,第二十四條 ,本規則有關之書表格式，由主管機關定之。,19
採購履約爭議調解規則,第二十五條 ,本規則自發布日施行。,10
採購申訴審議收費辦法,第一條 ,本辦法依政府採購法(以下簡稱本法)第八十條第四項規定訂定之。,30
採購申訴審議收費辦法,第二條 ,採購申訴審議委員會(以下簡稱申訴會)依本法第六章及第一百零二條規定處理廠商之採購申訴(以下簡稱申訴)事件，依本辦法之規定收費。,63
採購申訴審議收費辦法,第三條 ,廠商提出申訴時，應繳納審議費。其未繳納者，由申訴會通知限期補繳；逾期未補繳者，不受理其申請。,46
採購申訴審議收費辦法,第四條 ,前條審議費，每一申訴事件為新臺幣三萬元，由申訴廠商以現金、公庫支票、郵政匯票、金融機構簽發之即期本票、支票或保付支票繳納。,61
採購申訴審議收費辦法,第五條 ,採購履約爭議事件誤提起申訴，經廠商申請改行調解程序者，廠商已繳納之審議費轉為調解費用，並依採購履約爭議調解收費辦法規定計算，與原繳納金額相抵後，多退少補。,77
採購申訴審議收費辦法,第六條 ,申訴事件經申訴會為不受理之決議者，免予收費。已繳費者，申訴會無息退還所繳審議費之全額。但已通知預審會議期日者，收取審議費新臺幣五千元。,67
採購申訴審議收費辦法,第七條 ,鑑定費及其他必要之費用，由申訴會通知當事人繳納。,24
採購申訴審議收費辦法,第八條 ,廠商撤回申訴者，已繳審議費用不予退還。但於第一次預審會議期日前撤回者，無息退還二分之一。前條廠商已繳納而尚未發生之鑑定費及其他必要費用，應予退還。,73
採購申訴審議收費辦法,第九條 ,本辦法自發布日施行。,10
採購申訴審議規則,第一條 ,本規則依政府採購法(以下簡稱本法)第八十條第五項規定訂定之。,30
採購申訴審議規則,第二條 ,廠商對於公告金額以上採購、未達公告金額採購爭議屬本法第三十一條第二項規定不予發還或追繳押標金異議之處理結果不服，或招標機關逾本法第七十五條第二項、第八十五條第一項所定期限不為處理者，得於收受異議處理結果或處理期限屆滿之次日起十五日內，依其屬中央機關或地方機關辦理之採購，以書面分別向主管機關、直轄市或縣(市)政府所設採購申訴審議委員會(以下簡稱申訴會)申訴。廠商對機關依本法第一百零二條第一項異議之處理結果不服，或機關逾收受異議之次日起十五日期限不為處理者，無論該事件是否逾公告金額，得於收受異議處理結果或處理期限屆滿之次日起十五日內，以書面向該管申訴會申訴。直轄市或縣(市)政府未設申訴會而委請主管機關處理者，廠商得向主管機關所設申訴會申訴。,322
採購申訴審議規則,第三條 ,廠商申訴應具申訴書，載明下列事項，由申訴廠商簽名或蓋章：一、申訴廠商之名稱、地址、電話及負責人之姓名、性別、出生年月日、住所或居所。二、原受理異議之機關。三、申訴之事實及理由。四、證據。五、申訴之年、月、日。,104
採購申訴審議規則,第四條 ,申訴書應以中文繕具，其附有外文資料者，應就申訴有關之部分備具中文譯本。但申訴會得視需要，通知其檢具其他部分之中文譯本。,59
採購申訴審議規則,第五條 ,申訴得委任代理人為之。代理人應提出委任書，載明其姓名、性別、出生年月日、職業、電話、住所或居所。申訴廠商在我國無住所、事務所或營業所者，應委任在我國有住所、事務所或營業所之代理人為之。,92
採購申訴審議規則,第六條 ,申訴事件之代理人就其受委任事件，有為一切申訴行為之權。但撤回申訴及選任代理人，非受特別委任，不得為之。對前項代理權加以限制者，應於委任書內表明。,72
採購申訴審議規則,第七條 ,廠商提出申訴，應同時繕具副本，連同相關文件送招標機關。招標機關應自收受申訴書副本之次日起十日內，以書面向該管申訴會陳述意見，並檢附相關文件。,70
採購申訴審議規則,第八條 ,申訴會對於招標機關接受申訴書副本未依規定期限向其陳述意見者，得予函催或逕為審議。,40
採購申訴審議規則,第九條 ,廠商誤向非管轄之機關申訴者，以該機關收受之日，視為提起申訴之日。前項收受之機關應於收受之次日起三日內，將申訴事件移送有管轄權之申訴會，並副知申訴廠商。,75
採購申訴審議規則,第十條 ,對於申訴事件，應先為程序審查，其無不受理之情形者，再進而為實體審查。前項程序審查，發現有程式不合而其情形可補正者，應酌定相當期間通知廠商補正。,71
採購申訴審議規則,第十一條 ,申訴事件有下列情形之一者，應提申訴會委員會議為不受理之決議：一、採購事件未達公告金額。但第二條第二項及本法第三十一條第二項事件，不在此限。二、申訴逾越法定期間。三、申訴不合法定程式不能補正，或經通知限期補正屆期未補正。四、申訴事件不屬收受申訴書之申訴會管轄而不能依第九條規定移送。五、對於已經審議判斷或已經撤回之申訴事件復為同一之申訴。六、招標機關自行依申訴廠商之請求，撤銷或變更其處理結果。七、申訴廠商不適格。八、採購履約爭議提出申訴，未申請改行調解程序。九、非屬政府採購事件。十、其他不予受理之情事。,252
